Feature_ID,Category_Module,Feature_Name,Description,Source,Status,Implementation_Location,Dynamic_Persistence,RBAC_Role_Required
F-001,Core Visual Editor,Drag & Drop Editor,Visually build pages by dragging elements onto canvas,Elementor,PRESERVED,frontend/src/pages/editor/WebsiteEditor.tsx,Local State & Canvas JSON,USER
F-002,Core Visual Editor,Pixel-Perfect Design,Precise positioning and styling controls,Elementor,PRESERVED,frontend/src/pages/editor/inspector/spacing.tsx,Local State,USER
F-003,Core Visual Editor,Visual Canvas,Live visual workspace for page design,Elementor,PRESERVED,frontend/src/pages/editor/WebsiteEditor.tsx,Local State,USER
F-004,Core Visual Editor,Nested Elements,Allow components/widgets to contain other elements,Elementor,PRESERVED,frontend/src/pages/editor/widgets/renderers.tsx,Local State Tree,USER
F-005,Core Visual Editor,Components,Reusable building blocks with centralized updates,Elementor,COMPLETED,frontend/src/features/atomic-editor/components/,PostgreSQL (Website.editorData),USER
F-006,Core Visual Editor,Multi Select,Select and edit multiple elements together,Elementor,PRESERVED,frontend/src/pages/editor/WebsiteEditor.tsx,Local State (selectedIds),USER
F-007,Core Visual Editor,Copy Elements,Copy elements and reuse them elsewhere,Elementor,PRESERVED,frontend/src/pages/editor/WebsiteEditor.tsx,Local State (copiedElement),USER
F-008,Core Visual Editor,Delete Elements,Remove elements from a page,Elementor,PRESERVED,frontend/src/pages/editor/WebsiteEditor.tsx,Local State,USER
F-009,Core Visual Editor,Duplicate Elements,Duplicate existing elements,Elementor,PRESERVED,frontend/src/pages/editor/WebsiteEditor.tsx,Local State,USER
F-010,Core Visual Editor,Element Menus,Contextual menus for element actions,Elementor,PRESERVED,frontend/src/pages/editor/WebsiteEditor.tsx,Local State (contextMenu),USER
F-011,Core Visual Editor,Widget Customization,Configure and style individual widgets,Elementor,PRESERVED,frontend/src/pages/editor/inspector/index.ts,Local State,USER
F-012,Core Visual Editor,Favorite Widgets,Quick access to frequently used widgets,Elementor,PRESERVED,frontend/src/pages/editor/WebsiteEditor.tsx,Local State (favoriteWidgets),USER
F-013,Core Visual Editor,Undo / Redo / Revision,Track and revert design changes,Elementor,PRESERVED,frontend/src/pages/editor/WebsiteEditor.tsx,Local History Stack,USER
F-014,Core Visual Editor,Import Files,Import supported assets into editor,Elementor,COMPLETED,backend/src/controllers/upload.controller.ts,PostgreSQL / Express Upload API,USER
F-015,Core Visual Editor,Full Screen Canvas,Distraction-free editor workspace,Elementor,PRESERVED,frontend/src/pages/editor/WebsiteEditor.tsx,Local UI Toggle,USER
F-016,Core Visual Editor,Canvas Layout,Blank page layout without theme chrome,Elementor,PRESERVED,frontend/src/pages/published/PublishedSite.tsx,Prisma Website Model,USER
F-017,Core Visual Editor,Inline Editing,Edit content directly on visual canvas,Elementor,PRESERVED,frontend/src/pages/editor/widgets/renderers.tsx,Local State,USER
F-018,Core Visual Editor,Page Settings,"Configure page-level settings (title, slug, CSS)",Elementor,COMPLETED,frontend/src/pages/editor/WebsiteEditor.tsx,PostgreSQL (Website.editorData),USER
F-019,Core Visual Editor,Maintenance Mode,Display temporary maintenance page,Elementor,COMPLETED,backend/src/controllers/website.controller.ts,PostgreSQL (Website.status),ADMIN
F-020,Core Visual Editor,Temporary Support Credentials,Temporary support credentials for troubleshooting,Elementor,COMPLETED,backend/src/controllers/auth.controller.ts,Express Auth API (/api/v1/auth),ADMIN
F-021,Core Visual Editor,Structure / Layers Indicators,Visual page structure tree navigation,Elementor,PRESERVED,frontend/src/pages/editor/WebsiteEditor.tsx,Local State,USER
F-037,Layout & Structure,Containers / Sections,Primary structural containers for layouts,Elementor,PRESERVED,frontend/src/pages/editor/defaults/index.ts,Local Canvas State,USER
F-038,Layout & Structure,Columns,Create multi-column layouts,Elementor,PRESERVED,frontend/src/pages/editor/widgets/renderers.tsx,Local Layout State,USER
F-042,Layout & Structure,Flexbox Layout,Flexible row/column layout control,Elementor,PRESERVED,frontend/src/pages/editor/utils/index.ts,Local CSS Grid/Flex,USER
F-043,Layout & Structure,CSS Grid Layout,Two-dimensional grid layout system,Elementor,PRESERVED,frontend/src/pages/editor/utils/index.ts,Local CSS Grid,USER
F-053,Responsive Design,Responsive Editing,Separate design adjustments by device,Elementor,PRESERVED,frontend/src/pages/editor/WebsiteEditor.tsx,Device Mode State,USER
F-054,Responsive Design,Desktop Editing,Desktop-specific layout controls,Elementor,PRESERVED,frontend/src/pages/editor/WebsiteEditor.tsx,Device Mode (desktop),USER
F-055,Responsive Design,Tablet Editing,Tablet-specific layout controls,Elementor,PRESERVED,frontend/src/pages/editor/WebsiteEditor.tsx,Device Mode (tablet),USER
F-056,Responsive Design,Mobile Editing,Mobile-specific layout controls,Elementor,PRESERVED,frontend/src/pages/editor/WebsiteEditor.tsx,Device Mode (mobile),USER
F-066,Styling & Design System,Global Styles,Centralized website styling tokens,Elementor,COMPLETED,frontend/src/features/atomic-editor/,PostgreSQL (GlobalSettings),USER
F-067,Styling & Design System,Variables,Reusable global colors and typography,Elementor,COMPLETED,frontend/src/features/atomic-editor/,PostgreSQL,USER
F-068,Styling & Design System,Global Classes,Reusable CSS classes across elements,Elementor,COMPLETED,frontend/src/features/atomic-editor/,PostgreSQL,USER
F-102,CSS & Developer Controls,Element Custom CSS,Custom CSS rules per element,Elementor,PRESERVED,frontend/src/pages/editor/utils/index.ts,Scoped CSS Injector,USER
F-105,CSS & Developer Controls,CSS ID & Classes,Assign custom IDs and CSS classes,Elementor,PRESERVED,frontend/src/pages/editor/types/index.ts,EditorElement Attributes,USER
F-110,CSS & Developer Controls,HTML Widget / Custom Code,Insert custom HTML and JS snippets,Elementor,COMPLETED,backend/src/controllers/customCode.controller.ts,PostgreSQL / Express API,ADMIN
F-142,Content Widgets,Heading,Customizable headings,Elementor,PRESERVED,frontend/src/pages/editor/widgets/renderers.tsx,Local State,USER
F-143,Content Widgets,Image Widget,Image display and styling,Elementor,PRESERVED,frontend/src/pages/editor/widgets/renderers.tsx,Local State,USER
F-144,Content Widgets,Text Editor,Formatted rich text content,Elementor,PRESERVED,frontend/src/pages/editor/widgets/renderers.tsx,Local State,USER
